number of rooms,security level of the community,residence space,building space,noise level,view,air quality level,exchange rate,price range,house_age,decorate_age,space_ratio,room_space,median_rank_zip code,median_rank_city,mean_rank_zip code,mean_rank_city
3,1.75,1390,10905,1.0,0,3,6.78141027,1,57,14,0.6187050359712231,347.5,2.0,2.0,1.6,2.4857142857142858
3,2.5,2030,6326,2.0,0,3,6.937788419,1,21,21,1.0,507.5,2.0,2.0,1.7173913043478262,1.7173913043478262
3,1.75,2380,6000,1.5,0,3,7.80736152,1,79,40,0.5546218487394958,595.0,1.0,2.0,1.3555555555555556,2.4857142857142858
3,2.25,1870,3230,2.0,0,3,6.120992181,1,17,17,1.0,467.5,2.0,2.0,2.0123456790123457,1.9136690647482015
2,1.0,790,5240,1.0,0,4,7.764577087,1,89,46,1.0,263.3333333333333,2.0,2.0,2.116883116883117,2.4857142857142858
3,2.5,2720,6014,2.0,0,3,6.884542837,1,12,12,1.0,680.0,2.0,1.0,1.7352941176470589,1.4172185430463575
2,1.0,970,13700,1.0,0,3,7.400600979,2,65,16,1.0,323.3333333333333,2.0,2.0,1.6,2.4857142857142858
4,2.25,2000,9000,1.0,0,4,7.274859745,2,36,14,1.0,400.0,1.0,1.0,1.4065934065934067,1.408450704225352
3,1.0,990,6750,1.0,0,4,6.395408403,2,67,26,1.0,247.5,2.0,2.0,1.8876404494382022,2.4857142857142858
3,1.0,1250,9126,1.0,0,3,7.110298243,2,45,4,1.0,312.5,3.0,3.0,3.0208333333333335,2.8454545454545452
3,2.25,1800,10500,2.0,0,3,6.205776089,2,19,19,1.0,450.0,2.0,2.0,1.7173913043478262,1.7173913043478262
4,2.5,2220,4228,2.0,0,3,6.217934926,2,0,0,1.0,444.0,2.0,2.0,1.8627450980392157,2.4857142857142858
4,2.75,1800,5453,1.0,0,3,7.594382673,2,12,12,0.5833333333333334,360.0,2.0,2.0,1.68,1.9136690647482015
3,1.5,980,7790,1.0,0,5,6.429478578,2,45,45,1.0,245.0,2.0,3.0,2.3195876288659796,2.76878612716763
3,2.5,1530,1131,3.0,0,3,6.108077937,2,5,5,1.0,382.5,3.0,2.0,2.725,2.4857142857142858
3,2.5,2150,7484,2.0,0,3,7.449780655,2,26,14,1.0,537.5,3.0,3.0,3.032258064516129,3.2621951219512195
3,1.75,2000,9416,1.0,0,4,6.227321044,2,53,13,1.0,500.0,4.0,3.0,3.324675324675325,2.76878612716763
3,2.0,1540,7947,1.0,0,3,7.139553463,2,53,10,0.7272727272727273,385.0,2.0,2.0,2.4375,2.4242424242424243
3,2.25,1445,1471,2.0,0,3,7.714245432,2,11,11,0.8996539792387543,361.25,3.0,3.0,2.8764044943820224,2.893854748603352
3,1.75,1540,12446,1.0,0,5,6.231551618,2,47,47,1.0,385.0,3.0,3.0,2.8764044943820224,2.893854748603352
3,1.75,2470,9620,1.0,1,4,6.270207562,2,52,52,0.6356275303643725,617.5,1.0,1.0,1.510204081632653,1.4807692307692308
3,2.0,1440,4421,1.0,0,3,7.496307203,2,7,7,1.0,360.0,3.0,3.0,3.2444444444444445,3.179372197309417
1,1.0,960,40946,1.0,0,5,7.769481572,2,69,69,1.0,480.0,2.0,2.0,2.4375,2.4375
3,2.75,2550,11160,2.0,0,3,6.370636608,2,20,20,1.0,637.5,2.0,2.0,1.9651162790697674,1.9834710743801653
3,1.0,1150,3000,1.0,0,5,7.000662994,2,108,108,1.0,287.5,3.0,2.0,2.725,2.4857142857142858
4,2.25,2080,12007,1.0,0,4,6.54933207,2,35,35,0.5865384615384616,416.0,3.0,3.0,3.032258064516129,3.2621951219512195
2,1.0,1200,4000,1.0,0,3,6.941871956,2,74,18,0.8916666666666667,400.0,2.0,2.0,2.0933333333333333,2.4857142857142858
4,2.0,1660,6150,1.0,0,3,7.36437052,2,69,4,0.5120481927710844,332.0,2.0,2.0,2.0933333333333333,2.4857142857142858
4,2.0,1790,2250,1.0,2,4,6.022191172,2,105,25,0.4692737430167598,358.0,3.0,2.0,2.725,2.4857142857142858
3,3.5,2380,6250,2.0,3,3,7.118985969,2,17,17,0.7016806722689075,595.0,2.0,2.0,2.116883116883117,2.4857142857142858
3,2.5,1900,7604,2.0,0,3,6.334715093,3,24,5,1.0,475.0,4.0,3.0,3.324675324675325,2.76878612716763
4,2.5,3290,11446,2.0,0,3,6.394881087,3,22,22,1.0,658.0,2.0,2.0,2.3181818181818183,2.3230769230769233
3,2.75,2100,10362,2.0,0,3,6.252493825,3,16,8,0.719047619047619,525.0,3.0,3.0,3.0,3.0
3,1.0,1450,4000,1.0,1,4,7.650993609,3,66,66,0.6551724137931034,362.5,2.0,2.0,2.116883116883117,2.4857142857142858
4,2.5,1900,5790,2.0,0,3,6.201640176,3,20,20,1.0,380.0,3.0,3.0,2.9080459770114944,2.893854748603352
3,1.75,1300,62290,1.0,0,3,6.513518135,3,31,5,1.0,325.0,3.0,3.0,3.2444444444444445,3.179372197309417
3,2.25,2020,3600,2.0,0,3,7.749250428,3,16,8,1.0,505.0,4.0,3.0,3.324675324675325,2.76878612716763
3,3.0,1960,1168,2.0,0,3,6.55493744,3,7,7,0.8163265306122449,490.0,3.0,3.0,2.9080459770114944,2.893854748603352
3,2.5,2540,6093,2.0,0,3,7.876421083,3,15,15,1.0,635.0,2.0,3.0,2.3195876288659796,2.76878612716763
4,2.5,2910,5776,2.0,2,3,6.460281066,3,16,8,1.0,582.0,3.0,3.0,2.727272727272727,2.727272727272727
3,2.25,2230,9053,2.0,0,4,7.589631191,3,27,27,1.0,557.5,3.0,3.0,3.1621621621621623,3.2899159663865545
4,2.5,2360,5226,2.0,0,3,6.164480512,3,13,13,1.0,472.0,2.0,3.0,2.3195876288659796,2.76878612716763
4,2.75,2450,14803,2.0,0,4,6.152797217,3,26,26,1.0,490.0,2.0,3.0,2.4705882352941178,3.090909090909091
4,2.5,2630,48706,2.0,0,3,6.040295398,3,28,28,1.0,526.0,3.0,3.0,2.7096774193548385,2.8454545454545452
4,2.25,2750,6180,1.0,0,4,6.32686957,3,66,66,0.5454545454545454,550.0,2.0,2.0,2.116883116883117,2.4857142857142858
4,3.5,2350,13402,2.0,3,3,7.743062271,3,20,20,0.7106382978723405,470.0,4.0,3.0,3.324675324675325,2.76878612716763
4,2.5,2340,6420,1.0,2,3,6.514713721,3,50,14,0.6794871794871795,468.0,3.0,2.0,2.86,1.9834710743801653
4,2.75,2550,8632,1.0,0,3,6.964372014,3,42,12,0.6666666666666666,510.0,4.0,3.0,3.324675324675325,2.76878612716763
4,2.5,3010,46173,2.0,0,3,6.818178162,4,18,18,1.0,602.0,3.0,3.0,3.2444444444444445,3.179372197309417
4,3.25,2780,7875,2.0,0,3,6.502381584,4,8,8,1.0,556.0,2.0,2.0,1.8876404494382022,2.4857142857142858
3,2.5,2020,1159,3.0,3,3,7.302068968,4,14,14,1.0,505.0,3.0,2.0,2.725,2.4857142857142858
4,2.75,2830,13059,2.0,0,3,6.254339501,4,16,8,1.0,566.0,4.0,3.0,3.539473684210526,3.2621951219512195
4,2.75,3488,9614,2.0,0,3,7.7568074,4,16,8,1.0,697.6,3.0,3.0,3.032258064516129,3.179372197309417
5,3.0,2876,13927,1.0,2,4,7.558052981,4,41,41,0.6849791376912379,479.3333333333333,4.0,4.0,3.8208955223880596,3.8208955223880596
5,3.75,5330,6000,2.0,2,3,7.930199132,4,8,8,0.6697936210131332,888.3333333333334,3.0,3.0,2.8764044943820224,2.893854748603352
4,3.25,2790,5420,1.0,3,3,6.865447271,4,51,1,0.4050179211469534,558.0,3.0,2.0,2.86,1.9834710743801653
5,4.0,4850,36450,2.0,0,3,7.970443367,4,37,10,1.0,808.3333333333334,4.0,3.0,3.5714285714285716,3.2899159663865545
4,2.75,2290,6120,2.0,0,4,7.818750477,4,88,21,0.9475982532751092,458.0,3.0,2.0,2.9158878504672896,2.4857142857142858
3,4.0,3880,13095,2.0,3,3,7.621840275,4,5,5,0.9536082474226805,970.0,2.0,3.0,2.3195876288659796,2.76878612716763
4,3.25,3810,8519,1.0,1,3,6.075024487,4,7,7,0.7034120734908137,762.0,4.0,3.0,3.324675324675325,2.76878612716763
3,2.25,2760,40946,2.0,0,5,7.658028199,4,36,36,1.0,690.0,4.0,3.0,3.5714285714285716,3.2899159663865545
3,2.5,4460,26027,2.0,0,3,7.688236338,4,22,22,1.0,1115.0,4.0,3.0,3.324675324675325,2.76878612716763
2,1.0,820,10270,1.0,0,3,7.848829445,1,60,9,1.0,273.3333333333333,1.0,2.0,1.1551724137931034,2.4857142857142858
2,2.5,1160,2174,2.0,0,3,7.397926636,1,16,8,1.0,386.6666666666667,2.0,2.0,1.6,2.4857142857142858
4,1.5,1740,7292,1.0,0,3,6.349306861,1,52,11,0.5862068965517241,348.0,1.0,1.0,1.1551724137931034,1.2307692307692308
2,1.0,1400,4500,1.0,0,3,7.326839347,1,92,6,0.6428571428571429,466.6666666666667,1.0,2.0,1.3846153846153846,1.9136690647482015
3,1.0,870,5330,1.0,0,3,7.974425193,1,45,0,1.0,217.5,1.0,1.0,1.5168539325842696,1.2105263157894737
3,1.0,910,6000,1.0,0,2,6.637162131,1,58,58,1.0,227.5,2.0,2.0,1.8627450980392157,2.4857142857142858
2,1.0,740,11250,1.0,0,2,7.335396992,1,76,76,1.0,246.66666666666666,2.0,2.0,1.8627450980392157,2.4857142857142858
4,2.25,1720,8300,1.0,0,4,6.06758407,1,41,41,1.0,344.0,1.0,1.0,1.4065934065934067,1.408450704225352
4,2.0,1580,8000,1.0,0,3,7.770230621,1,47,3,0.6582278481012658,316.0,1.0,1.0,1.4042553191489362,1.408450704225352
2,1.0,940,8532,1.0,0,4,7.078786407,1,55,55,1.0,313.3333333333333,2.0,1.0,2.0185185185185186,1.7058823529411764
4,2.75,2570,7264,2.0,0,3,7.485985153,1,16,8,0.669260700389105,514.0,2.0,1.0,1.7352941176470589,1.4172185430463575
3,2.5,1550,3569,2.0,0,3,6.370148942,1,3,3,1.0,387.5,1.0,1.0,1.0571428571428572,1.4172185430463575
2,1.5,840,867,2.0,0,3,7.449052275,1,9,9,1.0,280.0,3.0,2.0,2.9158878504672896,2.4857142857142858
1,0.75,1170,14149,1.0,0,5,7.927663158,1,52,52,0.7521367521367521,585.0,1.0,1.0,1.4,1.4
4,2.0,980,10640,1.0,0,5,6.208182571,1,36,36,1.0,196.0,2.0,2.0,1.8,1.8
5,2.5,2760,6000,2.0,0,3,7.867494958,2,8,8,1.0,460.0,2.0,2.0,1.7380952380952381,2.4857142857142858
6,2.0,2040,10812,1.0,0,4,7.050024677,2,71,71,1.0,291.42857142857144,2.0,2.0,2.0123456790123457,1.9136690647482015
4,1.75,2200,8100,1.5,0,5,7.305851565,2,72,72,0.6363636363636364,440.0,1.0,2.0,1.1551724137931034,2.4857142857142858
3,1.5,2320,7500,1.0,0,3,7.644693902,2,38,38,1.0,580.0,2.0,2.0,2.0588235294117645,2.0588235294117645
2,1.0,1070,5824,1.0,2,5,7.016839766,2,65,65,1.0,356.6666666666667,1.0,2.0,1.3555555555555556,2.4857142857142858
3,2.0,1110,10500,1.0,0,5,6.343046094,2,36,36,1.0,277.5,2.0,2.0,1.8,1.8
3,2.25,998,844,2.0,0,3,6.596624709,2,7,7,0.7995991983967936,249.5,3.0,2.0,2.71,2.4857142857142858
3,2.25,1347,1292,3.0,0,3,6.360351833,2,4,4,1.0,336.75,2.0,2.0,2.2093023255813953,2.4857142857142858
3,2.5,1750,7208,2.0,0,3,7.252334548,2,20,20,1.0,437.5,2.0,2.0,1.68,1.9136690647482015
4,3.5,3150,6202,2.0,0,3,7.530652942,2,9,9,1.0,630.0,1.0,1.0,1.5168539325842696,1.4444444444444444
3,1.0,1070,6109,1.0,0,5,6.148506935,2,63,63,1.0,267.5,2.0,2.0,2.2093023255813953,2.4857142857142858
4,2.5,1980,7403,2.0,0,3,7.34109828,2,26,14,1.0,396.0,1.0,1.0,1.4065934065934067,1.408450704225352
3,1.0,1220,7876,1.0,0,3,6.130201349,2,48,48,1.0,305.0,2.0,3.0,2.3195876288659796,2.76878612716763
4,2.5,2052,3723,2.0,0,3,7.632760493,2,0,0,1.0,410.4,1.0,1.0,1.4042553191489362,1.408450704225352
2,1.0,1060,1600,2.0,0,3,6.677799997,2,35,0,1.0,353.3333333333333,2.0,2.0,2.6153846153846154,2.4857142857142858
3,2.25,1280,959,3.0,0,3,6.525609215,2,9,9,1.0,320.0,3.0,2.0,2.725,2.4857142857142858
2,1.75,1060,16470,1.0,0,3,6.084097157,2,37,10,1.0,353.3333333333333,3.0,3.0,2.7096774193548385,2.8454545454545452
3,1.5,1360,885,3.0,0,3,7.386963804,2,6,6,1.0,340.0,3.0,2.0,2.725,2.4857142857142858
3,1.0,1100,4046,1.5,4,4,7.34613736,2,92,92,1.0,275.0,1.0,1.0,1.510204081632653,1.4807692307692308
5,3.5,2420,4670,2.0,0,3,7.559824849,2,1,1,1.0,403.3333333333333,2.0,2.0,2.116883116883117,2.4857142857142858
2,2.5,1230,987,2.0,0,3,6.260002962,2,3,3,0.8617886178861789,410.0,2.0,2.0,2.6153846153846154,2.4857142857142858
3,1.0,1250,7300,1.0,0,4,7.421356771,2,58,58,1.0,312.5,3.0,3.0,2.840909090909091,3.2899159663865545
4,2.5,3140,8060,2.0,0,3,7.647011223,2,23,23,1.0,628.0,1.0,1.0,1.4065934065934067,1.408450704225352
3,1.0,1040,6250,1.0,0,3,7.332286694,2,72,15,1.0,260.0,2.0,2.0,2.510204081632653,2.4857142857142858
3,2.25,1950,7221,1.0,0,4,7.065513886,2,8,8,1.0,487.5,1.0,1.0,1.3,1.2307692307692308
4,3.0,3220,8936,2.0,0,3,7.397403888,2,24,5,0.7608695652173914,644.0,1.0,1.0,1.3492063492063493,1.4444444444444444
2,2.5,1520,1588,2.0,0,3,6.560734434,2,7,7,0.8157894736842105,506.6666666666667,2.0,2.0,2.6153846153846154,2.4857142857142858
3,3.5,1900,1612,2.0,0,3,6.64387338,2,6,6,0.7526315789473684,475.0,2.0,2.0,2.510204081632653,2.4857142857142858
3,2.75,2200,14925,1.0,0,3,6.24400592,2,32,32,0.5,550.0,3.0,3.0,3.2444444444444445,3.179372197309417
3,2.25,1470,1578,2.0,0,3,6.731286026,2,7,7,0.7414965986394558,367.5,2.0,2.0,2.510204081632653,2.4857142857142858
3,2.25,1820,8008,1.0,0,3,7.94599719,2,33,1,0.6813186813186813,455.0,3.0,3.0,3.1297709923664123,3.179372197309417
4,2.25,3250,34293,2.0,0,4,6.489153876,2,31,31,1.0,650.0,1.0,1.0,1.5168539325842696,1.4444444444444444
5,2.25,2230,9600,1.0,0,3,6.82963781,2,36,36,0.5919282511210763,371.6666666666667,3.0,3.0,3.0208333333333335,2.8454545454545452
4,2.0,1640,5000,2.0,0,3,6.002629589,2,107,31,1.0,328.0,3.0,2.0,2.8205128205128207,2.4857142857142858
2,1.75,1560,1750,1.0,0,4,7.38960514,2,110,110,0.5,520.0,4.0,2.0,3.5454545454545454,2.4857142857142858
2,1.75,2860,59612,1.0,4,3,7.551998021,3,66,11,0.527972027972028,953.3333333333334,1.0,1.0,1.4065934065934067,1.408450704225352
4,2.25,2350,8140,1.0,0,4,7.16286115,3,37,37,0.6085106382978723,470.0,4.0,3.0,3.323809523809524,3.2899159663865545
4,1.75,3000,42200,1.0,3,3,7.969724007,3,64,9,0.5,600.0,2.0,2.0,2.0123456790123457,1.9136690647482015
4,3.0,2170,8240,1.0,0,4,6.798299781,3,46,46,0.631336405529954,434.0,3.0,3.0,3.1297709923664123,3.179372197309417
3,1.75,1650,5100,1.0,0,5,7.727697032,3,106,106,0.6303030303030303,412.5,3.0,2.0,2.9158878504672896,2.4857142857142858
4,2.75,2750,14982,1.0,3,3,6.575608779,3,33,1,0.6254545454545455,550.0,1.0,1.0,1.510204081632653,1.4807692307692308
4,2.5,2980,8107,2.0,0,3,7.267392737,3,14,14,1.0,596.0,3.0,3.0,2.727272727272727,2.727272727272727
3,1.75,2060,12558,1.0,0,4,7.530851735,3,30,30,0.6553398058252428,515.0,3.0,3.0,3.1297709923664123,3.179372197309417
4,2.5,3240,13978,1.0,0,3,6.261659456,3,37,10,0.5740740740740741,648.0,3.0,3.0,3.032258064516129,3.2621951219512195
4,1.75,2260,7005,1.0,1,4,6.42677849,3,67,26,0.5,452.0,4.0,3.0,3.324675324675325,2.76878612716763
4,2.5,2860,12394,2.0,0,3,7.392516729,3,15,15,1.0,572.0,4.0,3.0,3.539473684210526,3.2621951219512195
4,1.75,2740,8520,1.0,2,3,6.574897161,3,60,9,0.5,548.0,2.0,2.0,2.116883116883117,2.4857142857142858
3,2.5,2670,10496,2.0,0,3,7.578611622,3,25,25,1.0,667.5,3.0,3.0,3.032258064516129,3.2621951219512195
3,2.5,2450,4332,2.0,0,3,6.423500478,3,4,4,1.0,612.5,3.0,3.0,3.2444444444444445,3.179372197309417
4,2.5,2600,17388,2.0,0,3,6.234244658,3,18,18,1.0,520.0,2.0,3.0,2.4705882352941178,3.090909090909091
3,2.0,2000,3207,1.0,0,4,7.906109177,3,98,98,0.55,500.0,3.0,2.0,2.725,2.4857142857142858
4,2.5,2930,18199,2.0,0,3,6.199472309,4,16,8,1.0,586.0,4.0,3.0,3.539473684210526,3.2621951219512195
4,2.5,2350,8001,2.0,0,4,6.014072323,4,27,27,1.0,470.0,4.0,3.0,3.323809523809524,3.2899159663865545
4,2.75,2410,6000,1.0,0,5,6.603993764,4,64,64,0.5850622406639004,482.0,3.0,2.0,2.8205128205128207,2.4857142857142858
4,3.25,3090,6744,2.0,4,3,7.269112316,4,1,1,1.0,618.0,3.0,2.0,2.86,1.9834710743801653
4,3.25,3340,10890,1.5,0,3,7.863375638,4,51,14,0.6706586826347305,668.0,3.0,3.0,3.1297709923664123,3.179372197309417
4,3.0,4260,18687,2.0,0,3,6.104846034,4,18,18,1.0,852.0,4.0,3.0,3.539473684210526,3.2621951219512195
4,3.25,3440,35021,2.0,0,3,6.988053082,4,31,5,1.0,688.0,4.0,3.0,3.324675324675325,2.76878612716763
4,2.5,3030,12590,1.5,0,4,6.507545355,4,26,26,1.0,606.0,4.0,3.0,3.857142857142857,3.2899159663865545
4,3.75,3860,5474,2.5,0,3,6.311150119,4,7,7,1.0,772.0,3.0,3.0,2.9080459770114944,2.893854748603352
4,3.0,3600,9200,1.0,4,4,6.273311647,4,38,22,0.5833333333333334,720.0,3.0,3.0,2.840909090909091,3.2899159663865545
3,2.75,2890,12130,2.0,3,4,6.959326412,4,27,27,0.9792387543252595,722.5,4.0,3.0,3.324675324675325,2.76878612716763
1,0.75,430,5050,1.0,0,2,7.893801545,1,102,102,1.0,215.0,2.0,2.0,2.4375,2.4375
2,1.0,580,7500,1.0,0,3,6.871645286,1,71,12,1.0,193.33333333333334,1.0,2.0,1.3555555555555556,2.4857142857142858
3,1.0,1080,10500,1.0,0,3,7.310476713,1,47,3,1.0,270.0,1.0,1.0,1.2321428571428572,1.4172185430463575
2,1.0,1300,44431,1.0,0,5,7.795886732,1,56,56,1.0,433.3333333333333,1.0,1.0,1.2321428571428572,1.4172185430463575
4,1.0,1350,11507,1.0,0,3,6.547997932,1,48,48,1.0,270.0,2.0,2.0,1.68,1.9136690647482015
3,1.0,960,9633,1.0,0,5,7.6769696,1,32,32,1.0,240.0,1.0,1.0,1.4,1.4
2,1.0,1300,11867,1.5,0,4,6.419407922,1,39,39,1.0,433.3333333333333,2.0,2.0,1.6666666666666667,1.6666666666666667
4,2.5,1810,39639,1.0,0,3,6.509769259,1,44,0,0.6795580110497238,362.0,1.0,1.0,1.5168539325842696,1.4444444444444444
2,1.0,1140,1730,1.5,0,3,7.021747638,1,7,7,0.8859649122807017,380.0,2.0,2.0,2.0933333333333333,2.4857142857142858
4,1.0,1450,8960,1.0,0,3,7.591317334,1,71,12,1.0,290.0,2.0,2.0,1.8627450980392157,2.4857142857142858
3,2.0,1490,8371,1.5,0,3,6.796552538,1,30,30,1.0,372.5,1.0,1.0,1.3492063492063493,1.4444444444444444
3,1.75,1620,7540,1.0,0,3,6.501755178,1,26,14,0.808641975308642,405.0,2.0,2.0,1.7173913043478262,1.7173913043478262
4,2.5,1960,9898,2.0,0,3,7.144448577,1,13,13,1.0,392.0,1.0,1.0,1.3055555555555556,1.4444444444444444
4,1.5,1930,15531,2.0,0,3,7.367727054,1,35,0,1.0,386.0,1.0,1.0,1.4042553191489362,1.408450704225352
2,1.0,1340,7788,1.0,2,3,7.939605123,2,67,2,1.0,446.6666666666667,1.0,2.0,1.3555555555555556,2.4857142857142858
2,1.0,780,13500,1.0,0,4,7.090862107,2,68,25,1.0,260.0,3.0,3.0,3.0208333333333335,2.8454545454545452
3,1.0,1920,6862,1.0,2,3,7.112874053,2,62,6,0.5833333333333334,480.0,2.0,2.0,2.116883116883117,2.4857142857142858
4,2.5,2210,6080,1.0,2,4,6.379755351,2,49,49,0.6380090497737556,442.0,1.0,2.0,1.3555555555555556,2.4857142857142858
4,2.5,1750,8476,1.0,0,4,7.266247882,2,31,31,0.7085714285714285,350.0,2.0,2.0,1.7666666666666666,1.9136690647482015
3,1.0,1010,11244,1.0,0,4,6.26221981,2,67,26,1.0,252.5,2.0,2.0,1.9651162790697674,1.9834710743801653
3,2.0,1220,1186,3.0,0,3,6.301925006,2,7,7,1.0,305.0,3.0,2.0,2.725,2.4857142857142858
3,2.0,1270,1323,3.0,0,3,6.876001999,2,8,8,1.0,317.5,3.0,2.0,2.725,2.4857142857142858
5,1.75,2120,8399,1.0,0,4,7.899391937,2,72,32,0.6226415094339622,353.3333333333333,2.0,2.0,1.8876404494382022,1.9834710743801653
3,1.0,1800,5612,1.0,0,4,7.095420898,2,72,32,0.6666666666666666,450.0,2.0,2.0,2.0933333333333333,2.4857142857142858
4,2.5,2440,7155,2.0,0,3,6.936613226,2,21,21,1.0,488.0,2.0,2.0,1.7666666666666666,1.9136690647482015
3,1.75,2420,12676,2.0,0,3,6.079860631,2,103,28,1.0,605.0,2.0,2.0,1.8,1.8
3,2.0,1540,1827,2.0,0,3,7.496633088,2,9,9,1.0,385.0,3.0,3.0,2.9080459770114944,2.893854748603352
3,2.0,1650,9641,1.5,0,3,6.382527235,2,31,5,1.0,412.5,2.0,3.0,2.3195876288659796,2.76878612716763
3,1.5,1110,9762,1.0,0,4,6.219863146,2,51,51,1.0,277.5,3.0,3.0,3.1297709923664123,3.179372197309417
4,1.75,1830,9600,1.0,0,4,6.548911625,2,48,48,0.5519125683060109,366.0,4.0,3.0,3.323809523809524,3.2899159663865545
4,2.5,2380,12067,2.0,0,3,7.913439646,2,12,12,1.0,476.0,2.0,2.0,2.4705882352941178,1.9136690647482015
4,2.5,2560,10400,1.0,0,4,6.365072631,2,49,49,0.5,512.0,3.0,3.0,2.8764044943820224,2.893854748603352
3,2.0,1630,8702,1.0,0,3,7.350599714,2,27,14,1.0,407.5,2.0,2.0,2.0123456790123457,1.9136690647482015
3,2.0,1560,4080,2.0,0,3,6.660808621,2,91,32,1.0,390.0,3.0,2.0,2.9158878504672896,2.4857142857142858
3,1.0,1670,4005,1.5,0,4,7.75579644,2,75,25,0.7005988023952096,417.5,3.0,2.0,2.71,2.4857142857142858
3,1.75,1300,2580,1.0,0,5,7.2411004,2,95,80,0.6307692307692307,325.0,3.0,2.0,2.9158878504672896,2.4857142857142858
3,1.75,1120,5500,1.5,0,4,7.617726528,2,89,46,1.0,280.0,2.0,2.0,2.510204081632653,2.4857142857142858
4,2.75,2430,20720,1.0,0,3,6.501126739,2,47,3,1.0,486.0,3.0,3.0,2.7096774193548385,2.8454545454545452
3,1.75,1620,8645,1.0,0,3,6.881304491,2,41,1,0.7345679012345679,405.0,3.0,3.0,3.1297709923664123,3.179372197309417
3,2.25,1670,1596,2.0,0,3,6.38080488,3,12,12,0.7305389221556886,417.5,3.0,2.0,3.1875,2.4857142857142858
2,1.0,1680,6500,1.0,0,4,6.438224159,3,73,16,0.6785714285714286,560.0,2.0,2.0,2.510204081632653,2.4857142857142858
3,1.75,1680,3420,1.0,0,3,6.684638974,3,22,22,0.5714285714285714,420.0,3.0,2.0,2.9158878504672896,2.4857142857142858
4,1.75,1814,5000,1.0,0,4,6.399581768,3,63,15,0.5203969128996693,362.8,3.0,2.0,2.9158878504672896,2.4857142857142858
3,2.5,2210,7620,2.0,0,3,6.643409481,3,20,20,1.0,552.5,3.0,3.0,3.1297709923664123,3.179372197309417
4,3.0,2830,213879,2.0,0,4,7.178103558,3,27,27,1.0,566.0,2.0,1.0,1.7352941176470589,1.4172185430463575
3,2.5,2510,5400,2.0,0,3,6.441723107,3,22,22,1.0,627.5,2.0,2.0,2.0123456790123457,1.9136690647482015
3,2.0,1830,9152,1.0,0,5,7.682826806,3,55,55,1.0,457.5,4.0,3.0,3.323809523809524,3.2899159663865545
3,1.0,1430,5000,1.0,0,4,6.474216143,3,95,29,0.7552447552447552,357.5,3.0,2.0,2.9158878504672896,2.4857142857142858
4,2.0,3510,12905,1.0,2,3,7.051931956,3,49,32,0.6296296296296297,702.0,2.0,1.0,2.0185185185185186,1.7058823529411764
5,2.5,3840,16905,2.0,0,3,7.891751537,3,23,23,1.0,640.0,1.0,1.0,1.4065934065934067,1.408450704225352
3,2.5,1620,1173,3.0,4,3,7.439905095,3,6,6,0.9074074074074074,405.0,3.0,2.0,2.725,2.4857142857142858
3,2.0,1670,4572,1.5,0,3,6.397338503,3,83,83,1.0,417.5,3.0,2.0,2.71,2.4857142857142858
3,2.75,1960,2500,1.5,0,5,7.634896023,3,88,88,0.7193877551020408,490.0,3.0,2.0,2.725,2.4857142857142858
3,1.0,1500,3920,1.0,0,3,7.827932135,3,67,2,0.6666666666666666,375.0,3.0,2.0,2.8205128205128207,2.4857142857142858
3,2.5,2600,10092,1.0,0,3,7.535011797,3,30,30,1.0,650.0,3.0,3.0,3.032258064516129,3.2621951219512195
4,2.75,2250,5700,1.0,0,3,7.948934884,3,63,20,0.5333333333333333,450.0,4.0,2.0,3.5454545454545454,2.4857142857142858
4,4.0,2290,6250,1.5,0,5,7.33159085,3,74,74,0.7379912663755459,458.0,3.0,2.0,2.9814814814814814,2.4857142857142858
3,2.75,1800,9550,1.0,0,4,7.739331702,3,48,48,0.7333333333333333,450.0,4.0,3.0,3.323809523809524,3.2899159663865545
4,2.0,1590,6750,1.0,0,3,7.629298406,3,63,20,1.0,318.0,3.0,2.0,3.4615384615384617,2.4857142857142858
4,2.5,2560,36601,2.0,0,4,6.00736549,3,27,27,1.0,512.0,4.0,3.0,3.539473684210526,3.2621951219512195
3,2.5,2390,9157,2.0,0,3,7.51376093,4,30,30,1.0,597.5,3.0,3.0,3.1297709923664123,3.179372197309417
4,2.5,2380,9614,2.0,0,4,7.321544189,4,23,23,1.0,476.0,4.0,3.0,3.323809523809524,3.2899159663865545
4,2.75,3500,7200,2.0,0,3,6.711249356,4,9,9,1.0,700.0,3.0,3.0,3.2444444444444445,3.179372197309417
4,2.25,2530,9200,1.0,0,5,7.131716934,4,38,38,0.6205533596837944,506.0,4.0,3.0,3.323809523809524,3.2899159663865545
4,2.0,2840,13367,1.0,0,3,7.244415275,4,62,6,0.5,568.0,4.0,4.0,3.857142857142857,4.0
5,3.25,3400,7452,2.0,0,3,6.296567879,4,15,15,1.0,566.6666666666666,3.0,3.0,3.1621621621621623,3.2899159663865545
4,3.0,3680,5854,1.0,3,3,6.616966949,4,47,3,0.5597826086956522,736.0,3.0,2.0,3.1875,2.4857142857142858
3,4.0,4380,42769,2.0,0,5,6.032557012,4,31,31,1.0,1095.0,3.0,3.0,3.1297709923664123,3.179372197309417
4,3.5,4740,172497,2.0,0,3,7.821522699,4,11,11,1.0,948.0,3.0,3.0,3.2444444444444445,3.179372197309417
